domain,problem,mode,status,wall_time_seconds,last_completed_phase,total_seconds,problem_reading_seconds,pnf_translation_seconds,symmetry_discovery_seconds,resource_detection_seconds,abstraction_seconds,abstract_pddl_writing_seconds,concrete_fd_seconds,abstract_fd_seconds,lama_fd_seconds,concrete_asp_seconds,abstract_asp_seconds,abstract_solving_seconds,guided_concrete_solving_seconds,extended_concrete_solving_seconds,verdict,plan_valid,relaxed_deletes,relaxed_inequalities,decrements,increments,abstract_plan_length,plan_length,abstract_solve_calls,concrete_solve_calls,abstracted_object_count,abstracted_object_type,error_message
mprime,prob25.pddl,lama,success,3.003992337733507,total,0.285308,,,,,,,,,0.278878,,,,,,,valid,,,,,,4,,,,,
mprime,prob26.pddl,abstract,success,10.764094438403845,total,9.104779,0.190567,0.002547,,3.40525,0.01887,0.247146,0.54041,0.464656,,0.265645,0.192426,1.193314,2.504749,,,,4,1,0,0,6,12,7,1,4,object,
mprime,prob26.pddl,concrete,success,5.171674255281687,total,2.52795,,,,,,,0.595029,,,0.268061,,,1.63349,,,valid,,,,,,6,,7,,,
mprime,prob26.pddl,lama,success,3.323479302227497,total,0.655887,,,,,,,,,0.646984,,,,,,,valid,,,,,,6,,,,,
mprime,prob27.pddl,abstract,success,17.929814368486404,total,16.094166,0.191484,0.002729,,7.833591,0.016852,0.260261,0.770909,0.775195,,0.40107,0.376721,1.94772,3.380392,,,,4,1,0,0,5,8,6,1,4,object,
mprime,prob27.pddl,concrete,success,4.504820331931114,total,2.829296,,,,,,,0.696645,,,0.349304,,,1.765226,,,valid,,,,,,5,,6,,,
mprime,prob27.pddl,lama,success,2.8697850182652473,total,0.855276,,,,,,,,,0.848031,,,,,,,valid,,,,,,5,,,,,
mprime,prob28.pddl,abstract,success,4.9858974404633045,total,2.648166,0.183424,0.002694,,0.539754,0.012423,0.102422,0.309493,0.271708,,0.066767,0.062388,0.383217,0.642629,,,,4,1,0,0,7,12,8,1,3,object,
mprime,prob28.pddl,concrete,success,3.638004817068577,total,0.760867,,,,,,,0.310313,,,0.063899,,,0.36803,,,valid,,,,,,7,,8,,,
mprime,prob28.pddl,lama,success,3.1580313853919506,total,0.345321,,,,,,,,,0.336668,,,,,,,valid,,,,,,9,,,,,
mprime,prob29.pddl,abstract,success,10.142023369669914,total,7.804147,0.192582,0.002617,,3.135977,0.017083,0.245155,0.541542,0.456273,,0.248008,0.193594,0.906477,1.779681,,,,4,1,0,0,4,8,5,1,4,object,
mprime,prob29.pddl,concrete,success,4.212397128343582,total,1.836535,,,,,,,0.53118,,,0.230656,,,1.06064,,,valid,,,,,,4,,5,,,
mprime,prob29.pddl,lama,success,3.944270007312298,total,0.683624,,,,,,,,,0.676834,,,,,,,valid,,,,,,4,,,,,
mprime,prob30.pddl,abstract,success,167.80893159285188,total,165.760088,0.207749,0.002887,,98.370111,0.022727,0.406177,2.653185,2.345707,,1.495333,1.308126,39.168462,19.316136,,,,4,1,0,0,9,18,10,1,4,object,
mprime,prob30.pddl,concrete,success,106.17574929818511,total,102.826412,,,,,,,2.620448,,,1.382343,,,98.681398,,,valid,,,,,,9,,10,,,
mprime,prob30.pddl,lama,success,4.878522999584675,total,2.80849,,,,,,,,,2.800128,,,,,,,valid,,,,,,9,,,,,
mprime,prob31.pddl,abstract,success,13.873092729598284,total,11.942577,0.203677,0.002666,,6.636151,0.019424,0.292255,0.824303,0.378397,,0.355579,0.044402,0.230785,2.840193,,,,4,1,0,0,4,8,5,1,4,object,
mprime,prob31.pddl,concrete,success,4.557758159935474,total,2.624014,,,,,,,0.709082,,,0.322988,,,1.56959,,,valid,,,,,,4,,5,,,
mprime,prob31.pddl,lama,success,2.8792182318866253,total,0.83178,,,,,,,,,0.825179,,,,,,,valid,,,,,,5,,,,,
mprime,prob32.pddl,abstract,success,6.346952173858881,total,3.721748,0.213969,0.003242,,1.0108,0.017547,0.248557,0.40034,0.251147,,0.114484,0.019947,0.146752,1.213021,,,,4,1,0,0,7,13,8,1,4,object,
mprime,prob32.pddl,concrete,success,3.7212929353117943,total,1.200556,,,,,,,0.370761,,,0.10433,,,0.697719,,,valid,,,,,,7,,8,,,
mprime,prob32.pddl,lama,success,3.632984660565853,total,0.431249,,,,,,,,,0.422742,,,,,,,valid,,,,,,8,,,,,
mprime,prob33.pddl,abstract,success,103.35965498536825,total,100.46601,0.320131,0.003376,,69.65495,0.027935,0.781258,2.165456,0.930494,,1.16626,0.213095,6.082642,18.75001,,,,4,1,0,0,12,24,13,1,4,object,
mprime,prob33.pddl,concrete,success,47.039233434945345,total,43.841845,,,,,,,2.118988,,,1.08238,,,40.472536,,,valid,,,,,,12,,13,,,
mprime,prob33.pddl,lama,success,4.691875830292702,total,2.213318,,,,,,,,,2.209303,,,,,,,valid,,,,,,14,,,,,
mprime,prob34.pddl,abstract,success,12.461202211678028,total,10.604193,0.203006,0.002592,,6.040867,0.020014,0.357988,0.65589,0.313706,,0.311539,0.023761,0.125096,2.482256,,,,4,1,0,0,4,8,5,1,4,object,
mprime,prob34.pddl,concrete,success,3.9815989285707474,total,2.296445,,,,,,,0.632248,,,0.291472,,,1.357382,,,valid,,,,,,4,,5,,,
mprime,prob34.pddl,lama,success,3.2101902291178703,total,0.817618,,,,,,,,,0.811102,,,,,,,valid,,,,,,4,,,,,
mprime,prob35.pddl,abstract,success,3.6838792450726032,total,2.224951,0.168137,0.002449,,0.481253,0.013218,0.07865,0.242148,0.230075,,0.063949,0.052678,0.285718,0.560343,,,,4,1,0,0,5,10,6,1,4,object,
mprime,prob35.pddl,concrete,success,2.7764515802264214,total,0.756381,,,,,,,0.289053,,,0.064964,,,0.382858,,,valid,,,,,,5,,6,,,
mprime,prob35.pddl,lama,success,2.961117185652256,total,0.297735,,,,,,,,,0.289482,,,,,,,valid,,,,,,6,,,,,
mystery,prob01.pddl,abstract,success,4.079741962254047,total,1.180032,0.177751,0.002148,,0.261501,0.01472,0.058845,0.23626,0.191148,,0.014755,0.00959,0.058964,0.105358,,,,1,0,0,0,5,5,6,1,7,object,
mystery,prob01.pddl,concrete,success,2.269385155290365,total,0.314339,,,,,,,0.204346,,,0.011746,,,0.077564,,,valid,,,,,,5,,6,,,
mystery,prob01.pddl,lama,success,2.171365663409233,total,0.223652,,,,,,,,,0.214034,,,,,,,valid,,,,,,5,,,,,
mystery,prob02.pddl,abstract,success,11.318586916662753,total,9.439179,0.190877,0.002377,,2.680209,0.019881,0.333724,0.558256,0.478013,,0.220793,0.185605,2.219978,2.420344,,,,1,0,0,0,7,14,8,1,5,object,
mystery,prob02.pddl,concrete,success,6.384553796611726,total,3.843281,,,,,,,0.484976,,,0.191443,,,3.14295,,,valid,,,,,,7,,8,,,
mystery,prob02.pddl,lama,success,2.6198615692555904,total,0.585908,,,,,,,,,0.57793,,,,,,,valid,,,,,,14,,,,,
mystery,prob03.pddl,abstract,success,5.211216229945421,total,3.383884,0.185785,0.002188,,0.864963,0.019041,0.145718,0.377109,0.31216,,0.1036,0.082005,0.400738,0.814982,,,,1,0,0,0,4,8,5,1,5,object,
mystery,prob03.pddl,concrete,success,2.8749147299677134,total,0.88703,,,,,,,0.329528,,,0.095621,,,0.446298,,,valid,,,,,,4,,5,,,
mystery,prob03.pddl,lama,success,2.4419089257717133,total,0.387514,,,,,,,,,0.379352,,,,,,,valid,,,,,,4,,,,,
mystery,prob04.pddl,abstract,timed out,1800.2180793769658,abstract_solving,,0.17703282833099365,0.0028894133865833282,,0.23574601113796234,0.01616380363702774,0.09489500150084496,0.22253063321113586,0.2034473717212677,,0.01712162047624588,0.012435991317033768,0.09071841090917587,,,,,1,0,7,944,7,,8,952,5,object,
