domain,problem,mode,status,wall_time_seconds,last_completed_phase,total_seconds,problem_reading_seconds,pnf_translation_seconds,symmetry_discovery_seconds,abstraction_seconds,abstract_pddl_writing_seconds,concrete_fd_seconds,abstract_fd_seconds,concrete_asp_seconds,abstract_asp_seconds,abstract_solving_seconds,guided_concrete_solving_seconds,extended_concrete_solving_seconds,verdict,horizon,plan_length,relaxed_deletes,relaxed_inequalities,decrements,increments,abstract_horizon,final_horizon,abstract_solve_calls,concrete_solve_calls,abstracted_object_count,abstracted_object_type,error_message
bag-gripper,prob03.pddl,abstract,interrupted,923.2328466894105,abstract_pddl_writing,,1.3385441210120916,0.005063879303634167,5.917242798954248,0.17628438863903284,2.602190064266324,,,,,,,,,,,3,0,,,,,,,3,room,
bag-gripper,prob03.pddl,concrete,interrupted,645.9163381680846,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-gripper,prob04.pddl,abstract,interrupted,1136.6146077532321,abstract_pddl_writing,,4.516745861619711,0.00984110776335001,15.804639887996018,0.5947664277628064,33.45291279256344,,,,,,,,,,,3,0,,,,,,,3,room,
bag-gripper,prob04.pddl,concrete,interrupted,681.0114315003157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-gripper,prob05.pddl,abstract,success,420.3350125923753,total,414.797808,6.170649,0.011748,15.168581,0.884448,60.085354,,332.443426,,,,,,unknown,,,3,0,,,,,,,3,room,
bag-gripper,prob05.pddl,concrete,success,59.966245375573635,total,58.147048,,,,,,58.130129,,,,,,,unsolvable,,,,,,,,,,,,,
bag-gripper,prob06.pddl,abstract,interrupted,1715.811392184347,abstract_pddl_writing,,6.975476372987032,0.01378357782959938,25.324650518596172,0.9917562641203403,62.780763264745474,,,,,,,,,,,3,0,,,,,,,4,room,
bag-gripper,prob06.pddl,concrete,interrupted,851.1869614236057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-gripper,prob07.pddl,abstract,interrupted,749.4926369972527,abstract_pddl_writing,,1.6737804971635342,0.005171838216483593,9.512684606015682,0.21314084623008966,4.600127178244293,,,,,,,,,,,3,0,,,,,,,3,room,
bag-gripper,prob07.pddl,concrete,interrupted,576.8920629248023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-gripper,prob09.pddl,abstract,success,1522.6756395697594,total,1513.521453,10.969151,0.017675,40.28498,1.630302,116.808484,,1343.751628,,,,,,unknown,,,3,0,,,,,,,5,room,
bag-gripper,prob09.pddl,concrete,interrupted,807.3164253160357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-gripper,prob10.pddl,abstract,interrupted,738.4168702252209,abstract_pddl_writing,,5.546071846038103,0.010729610919952393,19.4184157140553,0.7083600908517838,37.70867069065571,,,,,,,,,,,3,0,,,,,,,3,room,
bag-gripper,prob10.pddl,concrete,interrupted,619.4902098923922,,,,,,,,,,,,,,,,,,,,,,,,,,,,
